PMID	title	abstract
17562544	Nordihydroguaiaretic acid (NDGA), an inhibitor of the HER2 and IGF-1 receptor tyrosine kinases, blocks the growth of HER2-overexpressing human breast cancer cells.	We have reported that nordihydroguaiaretic acid (NDGA) inhibits the tyrosine kinase activities of the IGF-1 receptor (IGF-1R) and the HER2 receptor in breast cancer cells. Herein, we studied the effects of NDGA on the growth of estrogen receptor (ER) positive MCF-7 cells engineered to overexpress HER2 (MCF-7/HER2-18). These cells are an in vitro model of HER2-driven, ER positive, tamoxifen resistant breast cancer. NDGA was equally effective at inhibiting the growth of both parental MCF-7 and MCF-7/HER2-18 cells. Half maximal effects for both cell lines were in the 10-15 microM range. The growth inhibitory effects of NDGA were associated with an S phase arrest in the cell cycle and the induction of apoptosis. NDGA inhibited both IGF-1R and HER2 kinase activities in these breast cancer cells. In contrast, Gefitinib, an epidermal growth factor receptor inhibitor but not an IGF-1R inhibitor, was more effective in MCF-7/HER2-18 cells than in the parental MCF-7 cells and IGF binding protein-3 (IGFBP-3) was more effective against MCF-7 cells compared to MCF-7/HER2-18. MCF-7/HER2-18 cells are known to be resistant to the effects of the estrogen receptor inhibitor, tamoxifen. Interestingly, NDGA not only inhibited the growth of MCF-7/HER2-18 on its own, but it also demonstrated additive growth inhibitory effects when combined with tamoxifen. These studies suggest that NDGA may have therapeutic benefits in HER2-positive, tamoxifen resistant, breast cancers in humans.
17562554	Myo-inositol: a marker of reactive astrogliosis in glial tumors?	In a prospective study, two-dimensional (1)H-MRS with TE of 30 ms was performed before surgery in 56 patients with glial brain tumors. Concentrations of myo-inositol (MI), trimethylamine (TMA) and creatine/phosphocreatine (tCr) were evaluated for the whole tumor and scaled to the normal-appearing contralateral brain tissue. To assign changes in MI to specific tissue pathology, the normalized peak and mean concentrations of MI were correlated with TMA and tCr concentrations. TMA is accepted as a marker of proliferating tumor tissue, and tCr might be a marker of reactive astrogliosis. The mean and peak concentrations of MI and tCr correlated positively (r = 0.7), but not the concentrations of MI and TMA. The absolute concentration of MI was significantly increased in all tumor tissues (5.55 +/- 2.92 mM; mean +/- SD) compared with the normal-appearing white matter (4.33 +/- 1.22 mM, p = 0.005), with the highest concentrations for gliomatoses (n = 10) and grade II oligoastrocytomas (n = 3). Significant differences (P = 0.004) between low- and high-grade astrocytomas were found for TMA (1.67 +/- 0.32 mM and 2.65 +/- 0.86 mM, respectively), but not for MI (5.92 +/- 1.98 mM and 5.49 +/- 3.27 mM, respectively). As increased MI and tCr concentrations were found in gliomatosis and other cerebral diseases associated with marked astrogliosis, this process may also be responsible for the observed changes in MI in other glial tumors.
17569714	Development and psychometric evaluation of a Catalan self- and interviewer-administered version of the Pediatric Quality of Life Inventory version 4.0.	OBJECTIVE: The purposes of this study were to develop and to assess the psychometric properties of a Catalan self- and interviewer-administered version of the Pediatric Quality of Life Inventory Generic Core Scales (PedsQL) with a sample of schoolchildren, and to examine the equivalence between both versions. METHODS: 511 schoolchildren aged between 9 and 17 years old participated in the study. In addition to completing a Catalan self-administered version of the PedsQL, each child was interviewed individually. RESULTS: Confirmatory factor analysis did not support the original Varni's proposal. Instead, a short 12-item version was derived. The higher-order scales for both versions were internally consistent. Moreover, relationships between ratings of children's quality of life were generally significant; both versions were also found to be related with another measure of quality of life supporting their validity. CONCLUSIONS: A new administration form for the PedsQL is presented in this study. The psychometric properties of both self- and interviewer-administered short 12-item versions are reassuring albeit with a few areas of improvement. Further studies are needed to investigate whether self- and interviewer-administered versions can really be considered to be comparable.
17570454	Pharmacokinetics of florfenicol and its metabolite, florfenicol amine, in dogs.	A study on the bioavailability and pharmacokinetics of florfenicol was conducted in six healthy dogs following a single intravenous (i.v.) or oral (p.o.) dose of 20 mg kg(-1) body weight (b.w.). Florfenicol concentrations in serum were determined by a high-performance liquid chromatography/mass spectrometry. Plasma concentration-time data after p.o. or i.v. administration were analyzed by a non-compartmental analysis. Following i.v. injection, the total body clearance was 1.03 (0.49) L kg(-1)h(-1) and the volume of distribution at steady-state was 1.45 (0.82) L kg(-1). Florfenicol was rapidly distributed and eliminated following i.v. injection with 1.11 (0.94)h of the elimination half-life. After oral administration, the calculated mean C(max) values (6.18 microg ml(-1)) were reached at 0.94 h in dogs. The elimination half-life of florfenicol was 1.24 (0.64) h and the absolute bioavailability (F) was achieved 95.43 (11.60)% after oral administration of florfenicol. Florfenicol amine, the major metabolite of florfenicol, was detected in all dogs after i.v. and p.o. administrations.
17570583	Adsorption of naphthalene onto the carbon adsorbent from waste ion exchange resin: equilibrium and kinetic characteristics.	Polycyclic aromatic hydrocarbons (PAHs) are widespread environmental pollutants that can result in serious health problems and genetic defects in humans. In this research, a spherical microporous carbon adsorbent (CR-1) had been obtained by carbonization and activation of the waste polysulfonated cation exchange resin. Naphthalene was adopted as a model compound to examine the adsorption effectiveness for removing PAHs from the aqueous solution by CR-1. Nonlinear isotherms models, i.e., Freundlich, Langmuir, Brunauer-Emmett-Teller and Polanyi-Dubinin-Manes models were tested to fit experimental data. The adsorption equilibrium data of naphthalene on CR-1 was fitted well by the Polanyi-Dubinin-Manes model. Through both isotherm modeling and constructing "characteristic curve", Polanyi theory was useful to describe the adsorption process of naphthalene by CR-1, providing evidence that a micropore filling phenomenon is involved. In addition, among the tested kinetic models in this study (e.g., pseudo-first-order and pseudo-second-order equations), the pseudo-first-order equation successfully predicted the kinetic adsorption process.
17570588	A systematic literature review of psychological factors and the development of late whiplash syndrome.	This systematic literature review aims to assess the prognostic value of psychological factors in the development of late whiplash syndrome (LWS). We included prospective cohort studies that provided a baseline measure of at least one psychological variable and used outcome measures relating to LWS (i.e. pain or disability persisting 6 months post injury). A search of electronic databases (Pubmed, Medline, Cinahl, Embase and Psychinfo) up to August 2006 was done using a predetermined search strategy. Methodological quality was assessed independently by two assessors. Data extraction were carried out using a standardised data extraction form. Twenty-five articles representing data from 17 cohorts were included. Fourteen articles were rated as low quality with 11 rated as adequate quality. Meta-analysis was not undertaken due to the heterogeneity of prognostic factors, outcome measures and methods used. Results were tabulated and predefined criterion applied to rate the overall strength of evidence for associations between psychological factors and LWS. Data on 21 possible psychological risk factors were included. The majority of findings were inconclusive. Limited evidence was found to support an association between lower self-efficacy and greater post-traumatic stress with the development of LWS. No association was found between the development of LWS and personality traits, general psychological distress, wellbeing, social support, life control and psychosocial work factors. The lack of conclusive findings and poor methodological quality of the studies reviewed highlights the need for better quality research. Self-efficacy and post-traumatic distress may be associated with the development of LWS but this needs further investigation.
17571210	The 2-oxoacid dehydrogenase multienzyme complex of Haloferax volcanii.	Those aerobic archaea whose genomes have been sequenced possess four adjacent genes that, by sequence comparisons with bacteria and eukarya, appear to encode the component enzymes of a 2-oxoacid dehydrogenase multienzyme complex. However, no catalytic activity of any such complex has ever been detected in the archaea. In Thermoplasma acidophilum, evidence has been presented that the heterologously expressed recombinant enzyme possesses activity with the branched chain 2-oxoacids and, to a lesser extent, with pyruvate. In the current paper, we demonstrate that in Haloferax volcanii the four genes are transcribed as an operon in vivo. However, no functional complex or individual enzyme, except for the dihydrolipoamide dehydrogenase component, could be detected in this halophile grown on a variety of carbon sources. Dihydrolipoamide dehydrogenase is present at low catalytic activities, the level of which is increased three to fourfold when Haloferax volcanii is grown on the branched-chain amino acids valine, leucine and isoleucine.
17572067	Electrotherapy and the human voice: a literature review of the historical origins and contemporary applications.	SUMMARY: The present article surveys the literature on the electrotherapy treatment for voice disorders from the mid-18th century to World War I (1914--1918) and the post 1970s reappearance of such therapies. The reappearance of electrotherapy as treatment for voice disorders in the past 20 years has been heralded as a major breakthrough. In light of our reading of the scientific literature of the 19th century, it can be shown to repeat many of the presuppositions of electrotherapists of that time. The current resurgence of interest and research in electrical stimulation of the larynx is buoyed by technological innovations analogous to those in the 19th century. Although the current state of research has enhanced our understanding of vocal fold physiology, it does not necessarily provide a new therapeutic approach as a survey of the most recent literature shows.
17574340	Classification of heterogeneous electron microscopic projections into homogeneous subsets.	The co-existence of different states of a macromolecular complex in samples used by three-dimensional electron microscopy (3D-EM) constitutes a serious challenge. The single particle method applied directly to such heterogeneous sets is unable to provide useful information about the encountered conformational diversity and produces reconstructions with severely reduced resolution. One approach to solving this problem is to partition heterogeneous projection set into homogeneous components and apply existing reconstruction techniques to each of them. Due to the nature of the projection images and the high noise level present in them, this classification task is difficult. A method is presented to achieve the desired classification by using a novel image similarity measure and solving the corresponding optimization problem. Unlike the majority of competing approaches, the presented method employs unsupervised classification (it does not require any prior knowledge about the objects being classified) and does not involve a 3D reconstruction procedure. We demonstrate a fast implementation of this method, capable of classifying projection sets that originate from 3D-EM. The method's performance is evaluated on synthetically generated data sets produced by projecting 3D objects that resemble biological structures.
17574365	Central neurocytoma: typical magnetic resonance spectroscopy findings and atypical ventricular dissemination.	PURPOSE: Central neurocytomas (CNCs) are rare neuronal tumors that have a favorable prognosis and lower rate of recurrence compared with other intraventricular neoplasms. Although it may be difficult to distinguish CNC on conventional neuroimaging, typical MR spectroscopy (MRS) features have been reported. We describe the MRI and MRS features of CNC. MATERIALS AND METHODS: Eight patients with CNC were reviewed. Three patients underwent presurgical in vivo single-voxel MRS at short echo time (TE, 35 ms) and multi-voxel MR spectroscopic imaging at long TE (144 ms). The surgically resected tumor specimen of one of these patients was also studied ex vivo using high-resolution magic angle spinning (HRMAS) nuclear magnetic resonance. RESULTS: All eight tumors were located in the lateral ventricles. In six patients, CNC extended into the third ventricle, and in two patients the tumor showed further contiguous intraventricular dissemination into the fourth ventricle. In all three patients who underwent MRS, a characteristic metabolite peak was detected at 3.55 parts per million (ppm) at both long and short TE. HRMAS confirmed the presence of elevated glycine (Gly) at 3.55 ppm, without increase in the concentration of myo-inositol found at the same chemical shift. Elevated choline (at 3.2 ppm) was also seen in all three patients. CONCLUSION: On MRS, CNCs have a typical appearance with a metabolite peak at 3.55 ppm due to increased Gly, and this feature may be helpful in presurgical diagnosis. Although they are rare benign intraventricular tumors, in atypical cases, CNCs can show extensive intraventricular dissemination into the fourth ventricle.
17574685	Prediction of the three-year course of recurrent depression in primary care patients: different risk factors for different outcomes.	BACKGROUND: The objectives of this study are: (1) identification of predictors for the three-year course of recurrent depression in the rarely studied, but relevant sample of primary care patients, and (2) investigation whether different outcome indicators, time to recurrence, proportion depression-free time and mean severity of depressive symptoms during follow-up, are associated with different risk factors. METHODS: Depression course was established by assessing 110 patients three-monthly with the Composite International Diagnostic Interview and the BDI, during a three-year period. Eight (groups of) predictors, assessed at baseline, were examined: socio-demographics, parental depression, history and severity of depression, anxiety, coping potential, social dysfunctioning and physical functioning. RESULTS: Time to recurrence was predicted by number of previous episodes (OR=1.91). Both proportion depressive disorder-free time and mean depression severity during follow-up were predicted by: severity of depression (B=-.19 and .21 respectively), anxiety (B=-.32 and .33), social dysfunctioning (B=-.21 and .22) and physical functioning (B=.24 and -.39). Mean severity was additionally predicted by: educational level (B=-.21), duration of the longest prior episode (B=.32), and coping potential (B=-.40). Coping potential and number of previous episodes were marginally significant predictors for all three outcomes. LIMITATIONS: Although substantial, sample size was restricted. CONCLUSION: Different outcome variables are predicted by different risk factors. Restriction to one outcome may lead to missing important determinants of the depression course. Number of prior episodes and coping potential seem to warrant special attention from the GP.
17574741	Growth response of Zea mays L. in pyrene-copper co-contaminated soil and the fate of pollutants.	Phytoremediation, use of plants for remediation, is an emerging technology for treating heavy metals or a final polishing step for the high-level organic contamination, and may be suitable for remediation of heavy metal and organic co-contaminated soil. The aim of this study was to investigate the influence of co-contamination on the growth of Zea mays L. and the fate of both heavy metal and organic pollutants, using Cu and pyrene as the model pollutants. Results showed that shoot and root biomass were affected by the copper-pyrene co-contamination, although maize grown in spiked soils showed no outward signs of phytotoxicity. With the initial concentration of 50,100 and 500 mg/kg, pyrene tended to alleviate the inhibition of Cu to Z. mays L. Pyrene in both planted and non-planted soil was greatly decreased at the end of the 4-week culture, accounting for 16-18% of initial extractable concentrations in non-planted soil and 9-14% in planted soil, which indicated that the dissipation of soil pyrene was enhanced in the presence of vegetation probably due to the biodegradation and association with the soil matrix. With the increment of Cu level, residual pyrene in the planted soil tended to increase. The pyrene residual in the presence of high concentration of Cu was even higher in the planted soil than that in the non-planted soil, which suggested that the change of the microbial composition and microbial activity or the modified root physiology under Cu stress was probably unbeneficial to the dissipation of pyrene. A more thorough understanding of the mechanisms by which metals affect the dissipation of organic pollutants in the rhizosphere could provide a much better framework on which to base manipulation. Unlike pyrene, heavy metal copper cannot be degraded. Decontamination of Cu from contaminated soils in this system required the removal of Cu by plants. It was observed that the ability of Cu phytoextraction would be inhibited under co-contamination of high level of pyrene in highly Cu-polluted soil. In the treatment of 400 mg Cu/kg and 500 mg pyrene/kg, the accumulation of Cu was less than half of that in 400 mg Cu/kg treatment.
17577201	Developmental and genetic mechanisms for evolutionary diversification of serial repeats: eyespot size in Bicyclus anynana butterflies.	Serially repeated pattern elements on butterfly wings offer the opportunity for integrating genetic, developmental, and functional aspects towards understanding morphological diversification and the evolution of individuality. We use captive populations of Bicyclus anynana butterflies, an emerging model in evolutionary developmental biology, to explore the genetic and developmental basis of compartmentalized changes in eyespot patterns. There is much variation for different aspects of eyespot morphology, and knowledge about the genetic pathways and developmental processes involved in eyespot formation. Also, despite the strong correlations across all eyespots in one butterfly, B. anynana shows great potential for independent changes in the size of individual eyespots. It is, however, unclear to what extent the genetic and developmental processes underlying eyespot formation change in a localized manner to enable such individualization. We use micromanipulations of developing wings to dissect the contribution of different components of eyespot development to quantitative differences in eyespot size on one wing surface. Reciprocal transplants of presumptive eyespot foci between artificial selection lines and controls suggest that while localized antagonistic changes in eyespot size rely mostly on localized changes in focal signal strength, concerted changes depend greatly on epidermal response sensitivities. This potentially reflects differences between the signal-response components of eyespot formation in the degrees of compartmentalization and/or the temporal pattern of selection. We also report on the phenotypic analysis of a number of mutant stocks demonstrating how single alleles can affect different eyespots in concert or independently, and thus contribute to the individualization of serially repeated traits.
17579608	Association of DISC1 with autism and Asperger syndrome.	The DISC1 gene at 1q42 has generated considerable interest in various psychiatric diseases, since a balanced translocation interrupting the gene was found to cosegregate with schizophrenia and related mental illnesses in a large Scottish pedigree. To date, linkage and association findings to this locus have been replicated in several study samples ascertained for psychotic disorders. However, the biological function of DISC1 in neuronal development would suggest a potential role for this gene also in other, early onset neuropsychiatric disorders. Here we have addressed the allelic diversity of the DISC1, DISC2 and TRAX genes, clustered in 1q42, in Finnish families ascertained for infantile autism (97 families, n(affected)=138) and Asperger syndrome (29 families, n(affected)=143). We established association between autism and a DISC1 intragenic microsatellite (D1S2709; P=0.004). In addition, evidence for association to Asperger syndrome was observed with an intragenic single nucleotide polymorphism (SNP) of DISC1 (rs1322784; P=0.0058), as well as with a three-SNP haplotype (P=0.0013) overlapping the HEP3 haplotype, that was previously observed to associate with schizophrenia in Finnish families. The strongest associations were obtained with broad diagnostic categories for both disorders and with affected males only, in agreement with the previous sex-dependent effects reported for DISC1. These results would further support the involvement of DISC1 gene also in the etiopathogenesis of early onset neuropsychiatric disorders.
17579866	Efficacy of Hsp90 inhibition for induction of apoptosis and inhibition of growth in cervical carcinoma cells in vitro and in vivo.	PURPOSE: Heat shock protein 90 (Hsp90) is a conserved chaperone involved in crucial signaling events in normal and malignant cells. Previous research suggests that tumor cells are particularly dependent on Hsp90 for survival as well as malignant progression. Hsp90 inhibitors which are derivates of the natural compound geldanamycin, such as the orally bioavailable 17-(dimethylaminoethylamino)-17-demethoxygeldanamycin (17-DMAG), are currently being tested in clinical trials and small molecule inhibitors are in development. In this study we investigated the response of a panel of cervical carcinoma cell lines in vitro and in vivo to determine potential factors that might influence the sensitivity towards Hsp90 inhibition. METHODS: Cell viability, proliferation and drug-induced changes on Hsp90 chaperoned "client" factors were examined with focus on G2/M cell cycle regulators, and a comparison with immortalized and normal keratinocytes was performed. ME180 and CaSki cells were grown as subcutaneous xenografts in mice treated with 6-10 mg/kg 17-DMAG by oral gavage 2x/day on a chronic schedule. Tissue concentrations of 17-DMAG were measured by high performance liquid chromatography. RESULTS: Cell death during abnormal mitosis was observed within 48 h after treatment start. ME180 and CaSki showed more cell death at this time point than SiHa and HeLa, and higher levels of pre-treatment Akt activity. IC(50) values ranged between 17 and 37 nanoM geldanamycin (MTS). Keratinocytes were at least as sensitive as carcinoma cells. All cell lines responded with an increase of the G2/M fraction. Despite in vitro effectiveness and tissue concentrations of 1 microM, only a limited tumor growth reduction was observed with 17-DMAG given close to the maximum tolerated dose level. Lower levels of Hsp90 protein, a lower Akt activity and signs of tissue hypoxia were observed in xenografts compared to cell cultures. CONCLUSIONS: We show here that Hsp90 inhibition effectively induces apoptosis and growth arrest in cervical carcinoma cells in vitro. Mitotic catastrophe was identified as one mechanism of cell death. In contrast, a limited efficacy of 17-DMAG was observed in subcutaneous xenograft models. Induction of a heat shock response has previously been implicated in resistance towards Hsp90 inhibition. Additional factors might be (1) an altered abundance and/or activity of primary (Hsp90) and secondary (e.g., Akt) target(s), (2) a narrow therapeutic range of 17-DMAG by oral application and (3) response-modifying factors within the tumor environment. The further development of synthetic Hsp90 inhibitors with increased therapeutic window is warranted.
17581763	Relationship between serum acute phase protein concentrations and lesions in finishing pigs.	To establish the relationship between serum levels of three acute phase proteins, haptoglobin (Hp), C-reactive protein (CRP) and serum amyloid A (SAA), and the occurrence and severity of lesions at slaughter, a study was carried out using 70 fattening pigs from a finishing unit. Pigs were divided into three groups: Group 1 (25 pigs with clinical signs of disease), Group 2 (25 apparently healthy pigs with lesions at slaughter) and Group 3 (20 apparently healthy pigs with no lesions at slaughter). Serum levels of CRP, SAA and Hp were significantly higher in pigs with clinical signs of disease than in apparently healthy animals. Additionally, in apparently healthy pigs, serum levels of Hp and CRP were significantly higher in animals with lesions than those without lesions. The extent and severity of lung lesions were related to serum levels of Hp.
17587519	The nocturnal oviposition behaviour of blowflies (Diptera: Calliphoridae) in Central Europe and its forensic implications.	Numerous factors may cause delayed colonisation of a corpse by blowflies, leading to a discrepancy between the entomologically determined post-mortem interval (PMI) and the time of death. Blowflies, for example, are considered to be inactive at night, however, published observations are contradictory. In the present study, several field experiments and one type of indoor experiment were conducted in summer of 2004 and 2005 in order to investigate the nocturnal ovipositional behaviour of blowflies. In the field, two types of bait, dead hedgehogs and fresh beef liver, were placed at night in different urban and rural locations in Frankfurt and in Munich, Germany. For the indoor-experiments beef liver was placed in small plastic boxes containing caged Lucilia sericata females in the evening and left overnight. At night, no ovipositon was observed in the field (n=51, T=10-24 degrees C). Nocturnal oviposition in complete darkness occurred in the plastic boxes in two of six cases (T=25 degrees C). Considering the behavioural and physiological characteristics of flies we suggest that nocturnal oviposition of blowflies appears to be unlikely under natural conditions in Central Europe but may occur under certain circumstances, such as unusual high nightly temperatures and the presence of gravid flies with an appropriate arousal threshold.
17588864	On the Heun equation.	A new approach to the theory of finite-gap integration for the Heun equation is constructed. As an application, global monodromies of the Heun equation are calculated and expressed as hyperelliptic integrals. The relationship between the Heun equation and the spectral problem for the BC1 Inozemtsev model is also discussed.
17591439	An overview of enzymatic production of biodiesel.	Biodiesel production has received considerable attention in the recent past as a biodegradable and nonpolluting fuel. The production of biodiesel by transesterification process employing alkali catalyst has been industrially accepted for its high conversion and reaction rates. Recently, enzymatic transesterification has attracted much attention for biodiesel production as it produces high purity product and enables easy separation from the byproduct, glycerol. But the cost of enzyme remains a barrier for its industrial implementation. In order to increase the cost effectiveness of the process, the enzyme (both intracellular and extracellular) is reused by immobilizing in a suitable biomass support particle and that has resulted in considerable increase in efficiency. But the activity of immobilized enzyme is inhibited by methanol and glycerol which are present in the reacting mixture. The use of tert-butanol as solvent, continuous removal of glycerol, stepwise addition of methanol are found to reduce the inhibitory effects thereby increasing the cost effectiveness of the process. The present review analyzes these methods reported in literature and also suggests a suitable method for commercialization of the enzymatic process.
17595018	A functional MRI study of amygdala responses to angry schematic faces in social anxiety disorder.	Neuroimaging studies using angry or contemptuous human facial photographic stimuli have suggested amygdala hyper-responsivity in social anxiety disorder (SAD). We sought to determine if an angry "schematic face" (simple line drawing) would evoke exaggerated amygdalar responses in SAD patients compared with healthy control (HC) subjects. Angry, happy, and neutral schematic faces were overtly presented to matched cohorts of 11 SAD and 11 HC subjects for passive viewing, whereas brain functional magnetic resonance imaging signal was measured at 1.5 Tesla. Voxel-wise analyses were performed using a random effects model in SPM99. Compared with HC subjects, SAD patients exhibited exaggerated responses in the right amygdala for the Angry versus Neutral contrast. The findings of exaggerated amygdala responses to angry schematic faces in SAD converge with results from earlier neuroimaging studies and illustrate the potential utility of schematic faces for probing amygdala function in psychiatric disorders. One prospective advantage of schematic faces is that they may minimize confounds related to gender, age, or race effects. However, extending earlier findings in healthy subjects, schematic faces appear more effective for probing amygdala responses to arousal-based (Angry versus Neutral) as opposed to valence-based (Angry versus Happy) contrasts.
17603050	Differing mechanisms of meiotic segregation in spermatozoa from three carriers of a pericentric inversion of chromosome 8.	OBJECTIVE: To determine the meiotic segregation of a pericentric inversion of chromosome 8 in three carriers. DESIGN: Analysis of sperm nuclei by fluorescence in situ hybridization (FISH). SETTING: University hospital. PATIENT(S): Three males with an inv(8). INTERVENTION(S): Triple FISH with the 8q and 8p subtelomeres and the specific alphoid of chromosome 9 probes. MAIN OUTCOME MEASURE(S): Meiotic segregation differences between carriers. RESULT(S): The frequencies of nonrecombinant gametes were 97%, 60.94%, and 61.03%. The frequencies of recombinant sperm were 1.44%, 37.71%, and 37.70%, whereas the size of the inverted segment represented 31%, 61%, and 80% of the size of the whole chromosome 8. CONCLUSION(S): Many factors seem to influence the production of recombinant chromosomes: the affected chromosome and involved region, location of the breakpoints, or size of the inverted segment. Our results show that the rate of recombination varies principally according to the size of the inverted segment.
17604112	Benchmarking protein classification algorithms via supervised cross-validation.	Development and testing of protein classification algorithms are hampered by the fact that the protein universe is characterized by groups vastly different in the number of members, in average protein size, similarity within group, etc. Datasets based on traditional cross-validation (k-fold, leave-one-out, etc.) may not give reliable estimates on how an algorithm will generalize to novel, distantly related subtypes of the known protein classes. Supervised cross-validation, i.e., selection of test and train sets according to the known subtypes within a database has been successfully used earlier in conjunction with the SCOP database. Our goal was to extend this principle to other databases and to design standardized benchmark datasets for protein classification. Hierarchical classification trees of protein categories provide a simple and general framework for designing supervised cross-validation strategies for protein classification. Benchmark datasets can be designed at various levels of the concept hierarchy using a simple graph-theoretic distance. A combination of supervised and random sampling was selected to construct reduced size model datasets, suitable for algorithm comparison. Over 3000 new classification tasks were added to our recently established protein classification benchmark collection that currently includes protein sequence (including protein domains and entire proteins), protein structure and reading frame DNA sequence data. We carried out an extensive evaluation based on various machine-learning algorithms such as nearest neighbor, support vector machines, artificial neural networks, random forests and logistic regression, used in conjunction with comparison algorithms, BLAST, Smith-Waterman, Needleman-Wunsch, as well as 3D comparison methods DALI and PRIDE. The resulting datasets provide lower, and in our opinion more realistic estimates of the classifier performance than do random cross-validation schemes. A combination of supervised and random sampling was used to construct model datasets, suitable for algorithm comparison.
17605838	Labelling the salt content in foods: a useful tool in reducing sodium intake in Finland.	OBJECTIVE: To estimate the impact of choosing food products labelled either as low or high in salt on salt intake in the Finnish adult population. SETTING AND SUBJECTS: The National FINDIET 2002 survey with 48-hour recalls from 2007 subjects aged 25-64 years. Sodium intake was calculated based on the Fineli food composition database including the sodium content of natural and processed foods as well as the salt content of recipes. The distribution of salt intake was calculated in different ways: the present situation; assuming that all breads, cheeses, processed meat and fish, breakfast cereals and fat spreads consumed would be either 'lightly salted' or 'heavily salted' based on the current labelling practice; and, in addition, assuming that all foods would be prepared with 50% less or more salt. RESULTS: Excluding underreporters, the mean salt intake would be reduced by 1.8 g in men and by 1.0 g in women if the entire population were to choose lightly salted products and further by 2.5 and 1.8 g, respectively, if also salt used in cooking were halved. Choosing heavily salted products would increase salt intake by 2.1 g in men and by 1.4 g in women. In the worst scenarios, salt intake would be further increased by 2.3 g in men and by 1.6 g in women. CONCLUSIONS: These calculations show that the potential impact of labelling and giving consumers the possibility to choose products with less salt is of public health importance. In addition, strategies to reduce the salt content of all food groups are needed.
17606361	Examining content specificity of negative interpretation biases with the Body Sensations Interpretation Questionnaire (BSIQ).	Cognitive biases have been suggested to act as latent vulnerability factors for the onset and maintenance of affective and emotional disorders. Additionally, several global and specific personality constructs are known to influence the course of psychopathology (e.g., trait anxiety, optimism, anxiety sensitivity (AS), injury/illness sensitivity (IS), fear of negative evaluation (FNE)). The current study examined the specificity of the relation between these constructs and a negative interpretation bias. One hundred and fifty-four healthy participants completed the Body Sensations Interpretation Questionnaire (BSIQ) [Clark, D. A., Salkovskis, P. M., Breitholtz, E., Westling, B. E., Ost, L.-G., Koehler, K. A., et al. (1997). Misinterpretation of body sensations in panic disorder. Journal of Consulting and Clinical Psychology, 65, 203-213], measuring negative interpretations on four domains. A confirmatory factor analysis offered support for four factors in the BSIQ. Multiple linear regression analyses demonstrated that optimism is predictive of less negative interpretations. AS, IS, and FNE are specifically predictive of negative interpretations on the panic, other bodily symptoms, and social situations subscale, respectively. In addition, specific pain-related constructs were found most predictive of the other bodily sensations subscale. It is concluded that individual variability in global and specific psychological constructs is associated with a content-specific negative interpretation bias.
17607503	The modulating role of dissolved organic matter on spatial patterns of microbial metabolism in Lake Erie sediments.	To evaluate the role of dissolved organic matter (DOM) on microbial community metabolism, we established extracellular enzyme activity (EEA) and substrate-induced respiration (SIR) profiles of sediment samples collected from littoral and profundal regions of the western, central, and eastern basins of Lake Erie. Lake Erie is spatially structured such that the central and western basins receive relatively major inputs of allochthonous DOM in comparison to the eastern basin. Overall, spatial patterns of EEA and SIR profiles suggest both greater metabolic diversity and activity in the littoral regions of the central and western basins. In contrast, the eastern basin demonstrated much less structuring between littoral and profundal areas. To evaluate whether the observed spatial patterns are the result of microbial community adaptations to local DOM availability, we performed three experimental treatments by inoculating sediment samples with polyvinylpyrrolidone, which sequesters large polyphenols, or with either vanillin or catechol, two small phenolic compounds. Our results revealed that esterase and glycosidase EEA from the eastern basin were induced by small phenolics and inhibited by large polyphenols. In contrast, the addition of small phenolics decreased esterase and glycosidase activities from the central basin, while polyphenols had a negligible effect. These results suggest that the source and composition of DOM play a significant role in the local adaptation of microbial communities, determining large-scale spatial patterns of microbial functional diversity in Lake Erie sediments.
17607511	Bone-like matrix formation on magnesium and magnesium alloys.	Mg metal and its alloys have promise as a biocompatible, degradable biomaterials. This work evaluates the potential of in vitro cell culture work with osteoblast-like cells on Mg based materials, and investigates cell differentiation and growth on Mg alloyed with various non-toxic or low-toxicity elements. Mg based substrates support the adhesion, differentiation and growth of stromal cells towards an osteoblast-like phenotype with the subsequent production of a bone like matrix under in vitro conditions. No significant difference in the final tissue layer is observed on pure Mg, an AZ21 alloy or a 0.5 wt% Ca alloy. Only a 0.8 wt% Ca alloy which shows complete structural disintegration shows minimal cell growth. Due to association of non-soluble degradation products formed when Mg is incubated in physiological-like fluid, mass changes typically used to report Mg degradation are not viable estimates of degradation. Methods quantifying the time dependent change in the mechanical integrity of samples as a function of incubation time are required for a proper assessment of Mg degradation. We conclude that in vitro cell culture of bone cells on Mg substrates is expected to be a viable screening technique to assess the relative biological activity of Mg-based materials.
